,dec,16ths-decimal,Inches,16ths-only
0,0.0,0.0,0,0.0
1,0.004112100293312437,0.0,0,0.0
2,0.016445582945113557,0.0,0,0.0
3,0.03699199520246488,0.0625,0,1.0
4,0.06573725558072141,0.0625,0,1.0
5,0.10266166351427586,0.125,0,2.0
6,0.14773991285834676,0.125,0,2.0
7,0.20094110923254505,0.1875,0,3.0
8,0.26222879119433173,0.25,0,4.0
9,0.3315609552278822,0.3125,0,5.0
10,0.4088900845311798,0.4375,0,7.0
11,0.4941631815816834,0.5,0,8.0
12,0.5873218044581581,0.5625,0,9.0
13,0.6883021068938593,0.6875,0,11.0
14,0.7970348820335786,0.8125,0,13.0
15,0.91344560986456,0.9375,0,15.0
16,1.0374545082887892,1.0625,1,1.0
17,1.168976587801673,1.1875,1,3.0
18,1.3079217097395848,1.3125,1,5.0
19,1.454194648056415,1.4375,1,7.0
20,1.607695154586736,1.625,1,10.0
21,1.768318027750892,1.75,1,12.0
22,1.9359531846549114,1.9375,1,15.0
23,2.1104857365358107,2.125,2,2.0
24,2.2917960675006306,2.3125,2,5.0
25,2.479759916505177,2.5,2,8.0
26,2.674248462516349,2.6875,2,11.0
27,2.8751284127996275,2.875,2,14.0
28,3.082262094271268,3.0625,3,1.0
29,3.295507547852548,3.3125,3,5.0
30,3.5147186257614287,3.5,3,8.0
31,3.7397450916749513,3.75,3,12.0
32,3.9704327236936994,4.0,3,16.0
